Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	BioProject
SAMN12025211	6212017EGA1	6212017EGA1	feces metagenome	1861841	6212017EGA1	PRJNA548356
SAMN12025212	6212017EGA2	6212017EGA2	feces metagenome	1861841	6212017EGA2	PRJNA548356
SAMN12025213	6212017EGA3	6212017EGA3	feces metagenome	1861841	6212017EGA3	PRJNA548356
SAMN12025214	6212017EGA4	6212017EGA4	feces metagenome	1861841	6212017EGA4	PRJNA548356
SAMN12025215	6212017EGB1	6212017EGB1	feces metagenome	1861841	6212017EGB1	PRJNA548356
SAMN12025216	6212017EGB10	6212017EGB10	feces metagenome	1861841	6212017EGB10	PRJNA548356
SAMN12025217	6212017EGB2	6212017EGB2	feces metagenome	1861841	6212017EGB2	PRJNA548356
SAMN12025218	6212017EGB3	6212017EGB3	feces metagenome	1861841	6212017EGB3	PRJNA548356
SAMN12025219	6212017EGB4	6212017EGB4	feces metagenome	1861841	6212017EGB4	PRJNA548356
SAMN12025220	6212017EGB5	6212017EGB5	feces metagenome	1861841	6212017EGB5	PRJNA548356
SAMN12025221	6212017EGB6	6212017EGB6	feces metagenome	1861841	6212017EGB6	PRJNA548356
SAMN12025222	6212017EGB7	6212017EGB7	feces metagenome	1861841	6212017EGB7	PRJNA548356
SAMN12025223	6212017EGB8	6212017EGB8	feces metagenome	1861841	6212017EGB8	PRJNA548356
SAMN12025224	6212017EGB9	6212017EGB9	feces metagenome	1861841	6212017EGB9	PRJNA548356
SAMN12025225	6212017EGC1	6212017EGC1	feces metagenome	1861841	6212017EGC1	PRJNA548356
SAMN12025226	6212017EGC10	6212017EGC10	feces metagenome	1861841	6212017EGC10	PRJNA548356
SAMN12025227	6212017EGC2	6212017EGC2	feces metagenome	1861841	6212017EGC2	PRJNA548356
SAMN12025228	6212017EGC3	6212017EGC3	feces metagenome	1861841	6212017EGC3	PRJNA548356
SAMN12025229	6212017EGC4	6212017EGC4	feces metagenome	1861841	6212017EGC4	PRJNA548356
