Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	SampleType	BatchType	Roost	RoostName	isolate	proper_lat_long
6212017EGA1		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	A	Egner	6212017EGA1	37.30 N -89.09 W
6212017EGA2		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	A	Egner	6212017EGA2	37.30 N -89.09 W
6212017EGA3		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	A	Egner	6212017EGA3	37.30 N -89.09 W
6212017EGA4		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	A	Egner	6212017EGA4	37.30 N -89.09 W
6212017EGB1		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	B	Egner	6212017EGB1	37.30 N -89.09 W
6212017EGB10		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	B	Egner	6212017EGB10	37.30 N -89.09 W
6212017EGB2		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	B	Egner	6212017EGB2	37.30 N -89.09 W
6212017EGB3		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	B	Egner	6212017EGB3	37.30 N -89.09 W
6212017EGB4		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	B	Egner	6212017EGB4	37.30 N -89.09 W
6212017EGB5		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	B	Egner	6212017EGB5	37.30 N -89.09 W
6212017EGB6		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	B	Egner	6212017EGB6	37.30 N -89.09 W
6212017EGB7		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	B	Egner	6212017EGB7	37.30 N -89.09 W
6212017EGB8		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	B	Egner	6212017EGB8	37.30 N -89.09 W
6212017EGB9		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	B	Egner	6212017EGB9	37.30 N -89.09 W
6212017EGC1		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	C	Egner	6212017EGC1	37.29 N -89.10 W
6212017EGC10		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	C	Egner	6212017EGC10	37.29 N -89.10 W
6212017EGC2		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	C	Egner	6212017EGC2	37.29 N -89.10 W
6212017EGC3		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	C	Egner	6212017EGC3	37.29 N -89.10 W
6212017EGC4		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	C	Egner	6212017EGC4	37.29 N -89.10 W
6212017EGC5		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	C	Egner	6212017EGC5	37.29 N -89.10 W
6212017EGC6		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	C	Egner	6212017EGC6	37.29 N -89.10 W
6212017EGC7		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	C	Egner	6212017EGC7	37.29 N -89.10 W
6212017EGC8		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	C	Egner	6212017EGC8	37.29 N -89.10 W
6212017EGC9		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	C	Egner	6212017EGC9	37.29 N -89.10 W
6212017EgnerPoolC1		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	pool	C	Egner	6212017EgnerPoolC1	37.29 N -89.10 W
6212017EgnerPoolC2		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	pool	C	Egner	6212017EgnerPoolC2	37.29 N -89.10 W
6212017EgnerPoolC3		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	pool	C	Egner	6212017EgnerPoolC3	37.29 N -89.10 W
6212017EgnerPoolC4		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	pool	C	Egner	6212017EgnerPoolC4	37.29 N -89.10 W
6212017EGD1		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	D	Egner	6212017EGD1	37.29 N -89.10 W
6212017EGD10		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	D	Egner	6212017EGD10	37.29 N -89.10 W
6212017EGD2		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	D	Egner	6212017EGD2	37.29 N -89.10 W
6212017EGD3		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	D	Egner	6212017EGD3	37.29 N -89.10 W
6212017EGD4		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	D	Egner	6212017EGD4	37.29 N -89.10 W
6212017EGD5		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	D	Egner	6212017EGD5	37.29 N -89.10 W
6212017EGD6		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	D	Egner	6212017EGD6	37.29 N -89.10 W
6212017EGD7		PRJNA548356	not collected		feces metagenome	21-Jun-2017	USA: Ullin IL	not collected	sample	single	D	Egner	6212017EGD7	37.29 N -89.10 W
