BioProject accession	BioSample accession	Library ID	Title	Library strategy	Library source	Library selection	Library layout	Platform	Instrument model	Design description	Filetype	Filename	filename2	SPUID	Organism	Tax ID
PRJNA548356	SAMN12025211	6212017EGA1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGA1_L001_R1_001.fastq.gz	6212017EGA1_L001_R2_001.fastq.gz	6212017EGA1	feces metagenome	1861841
PRJNA548356	SAMN12025212	6212017EGA2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGA2_L001_R1_001.fastq.gz	6212017EGA2_L001_R2_001.fastq.gz	6212017EGA2	feces metagenome	1861841
PRJNA548356	SAMN12025213	6212017EGA3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGA3_L001_R1_001.fastq.gz	6212017EGA3_L001_R2_001.fastq.gz	6212017EGA3	feces metagenome	1861841
PRJNA548356	SAMN12025214	6212017EGA4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGA4_L001_R1_001.fastq.gz	6212017EGA4_L001_R2_001.fastq.gz	6212017EGA4	feces metagenome	1861841
PRJNA548356	SAMN12025215	6212017EGB1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGB1_L001_R1_001.fastq.gz	6212017EGB1_L001_R2_001.fastq.gz	6212017EGB1	feces metagenome	1861841
PRJNA548356	SAMN12025216	6212017EGB10	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGB10_L001_R1_001.fastq.gz	6212017EGB10_L001_R2_001.fastq.gz	6212017EGB10	feces metagenome	1861841
PRJNA548356	SAMN12025217	6212017EGB2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGB2_L001_R1_001.fastq.gz	6212017EGB2_L001_R2_001.fastq.gz	6212017EGB2	feces metagenome	1861841
PRJNA548356	SAMN12025218	6212017EGB3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGB3_L001_R1_001.fastq.gz	6212017EGB3_L001_R2_001.fastq.gz	6212017EGB3	feces metagenome	1861841
PRJNA548356	SAMN12025219	6212017EGB4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGB4_L001_R1_001.fastq.gz	6212017EGB4_L001_R2_001.fastq.gz	6212017EGB4	feces metagenome	1861841
PRJNA548356	SAMN12025220	6212017EGB5	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGB5_L001_R1_001.fastq.gz	6212017EGB5_L001_R2_001.fastq.gz	6212017EGB5	feces metagenome	1861841
