SampleID,SampleType,BatchType,CollectionMonth,CollectionDay,CollectionYear,Site,Roost,RoostMonth,RoostDay,RoostYear,Source,PlateNumber,PlateIndex,ContamArea
6212017EGA1,sample,single,6,21,2017,Egner,A,6,14,2017,plate,1,9,TRUE
6212017EGA2,sample,single,6,21,2017,Egner,A,6,14,2017,plate,1,17,TRUE
6212017EGA3,sample,single,6,21,2017,Egner,A,6,14,2017,plate,1,25,FALSE
6212017EGA4,sample,single,6,21,2017,Egner,A,6,14,2017,plate,1,33,FALSE
6212017EGB1,sample,single,6,21,2017,Egner,B,6,14,2017,plate,1,41,FALSE
6212017EGB10,sample,single,6,21,2017,Egner,B,6,14,2017,plate,1,26,FALSE
6212017EGB2,sample,single,6,21,2017,Egner,B,6,14,2017,plate,1,49,FALSE
6212017EGB3,sample,single,6,21,2017,Egner,B,6,14,2017,plate,1,57,FALSE
6212017EGB4,sample,single,6,21,2017,Egner,B,6,14,2017,plate,1,65,FALSE
6212017EGB5,sample,single,6,21,2017,Egner,B,6,14,2017,plate,1,73,FALSE
6212017EGB6,sample,single,6,21,2017,Egner,B,6,14,2017,plate,1,81,FALSE
6212017EGB7,sample,single,6,21,2017,Egner,B,6,14,2017,plate,1,89,FALSE
6212017EGB8,sample,single,6,21,2017,Egner,B,6,14,2017,plate,1,2,TRUE
6212017EGB9,sample,single,6,21,2017,Egner,B,6,14,2017,plate,1,18,TRUE
6212017EGC1,sample,single,6,21,2017,Egner,C,6,14,2017,plate,1,34,FALSE
6212017EGC10,sample,single,6,21,2017,Egner,C,6,14,2017,plate,1,11,TRUE
6212017EGC2,sample,single,6,21,2017,Egner,C,6,14,2017,plate,1,42,FALSE
6212017EGC3,sample,single,6,21,2017,Egner,C,6,14,2017,plate,1,50,FALSE
6212017EGC4,sample,single,6,21,2017,Egner,C,6,14,2017,plate,1,58,FALSE
6212017EGC5,sample,single,6,21,2017,Egner,C,6,14,2017,plate,1,66,FALSE
6212017EGC6,sample,single,6,21,2017,Egner,C,6,14,2017,plate,1,74,FALSE
6212017EGC7,sample,single,6,21,2017,Egner,C,6,14,2017,plate,1,82,FALSE
6212017EGC8,sample,single,6,21,2017,Egner,C,6,14,2017,plate,1,90,FALSE
6212017EGC9,sample,single,6,21,2017,Egner,C,6,14,2017,plate,1,3,TRUE
6212017EGD1,sample,single,6,21,2017,Egner,D,6,14,2017,plate,1,27,TRUE
6212017EGD10,sample,single,6,21,2017,Egner,D,6,14,2017,plate,1,4,FALSE
6212017EGD2,sample,single,6,21,2017,Egner,D,6,14,2017,plate,1,35,TRUE
6212017EGD3,sample,single,6,21,2017,Egner,D,6,14,2017,plate,1,43,FALSE
6212017EGD4,sample,single,6,21,2017,Egner,D,6,14,2017,plate,1,51,FALSE
6212017EGD5,sample,single,6,21,2017,Egner,D,6,14,2017,plate,1,59,FALSE
6212017EGD6,sample,single,6,21,2017,Egner,D,6,14,2017,plate,1,67,FALSE
6212017EGD7,sample,single,6,21,2017,Egner,D,6,14,2017,plate,1,75,FALSE
6212017EGD8,sample,single,6,21,2017,Egner,D,6,14,2017,plate,1,83,FALSE
6212017EGD9,sample,single,6,21,2017,Egner,D,6,14,2017,plate,1,91,FALSE
6212017EgnerPoolC1,sample,pool,6,21,2017,Egner,C,6,14,2017,Isolate,NA,NA,NA
6212017EgnerPoolC2,sample,pool,6,21,2017,Egner,C,6,14,2017,Isolate,NA,NA,NA
6212017EgnerPoolC3,sample,pool,6,21,2017,Egner,C,6,14,2017,Isolate,NA,NA,NA
6212017EgnerPoolC4,sample,pool,6,21,2017,Egner,C,6,14,2017,Isolate,NA,NA,NA
6212017EgnerPoolD1,sample,pool,6,21,2017,Egner,D,6,14,2017,Isolate,NA,NA,NA
6212017EgnerPoolD2,sample,pool,6,21,2017,Egner,D,6,14,2017,Isolate,NA,NA,NA
6212017EgnerPoolD3,sample,pool,6,21,2017,Egner,D,6,14,2017,Isolate,NA,NA,NA
6212017EgnerPoolD4,sample,pool,6,21,2017,Egner,D,6,14,2017,Isolate,NA,NA,NA
6212017HBA1,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017,plate,1,12,TRUE
6212017HBA10,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017,plate,1,92,FALSE
6212017HBA2,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017,plate,1,20,TRUE
6212017HBA3,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017,plate,1,36,TRUE
6212017HBA4,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017,plate,1,44,TRUE
6212017HBA5,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017,plate,1,52,FALSE
6212017HBA6,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017,plate,1,60,FALSE
6212017HBA7,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017,plate,1,68,FALSE
6212017HBA8,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017,plate,1,76,FALSE
6212017HBA9,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017,plate,1,84,FALSE
6212017HBB1,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017,plate,1,5,FALSE
6212017HBB10,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017,plate,1,85,FALSE
6212017HBB2,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017,plate,1,13,FALSE
6212017HBB3,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017,plate,1,21,TRUE
6212017HBB4,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017,plate,1,29,TRUE
6212017HBB5,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017,plate,1,45,TRUE
6212017HBB6,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017,plate,1,53,TRUE
6212017HBB7,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017,plate,1,61,FALSE
6212017HBB8,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017,plate,1,69,FALSE
6212017HBB9,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017,plate,1,77,FALSE
6212017HBC1,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017,plate,1,93,FALSE
6212017HBC10,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017,plate,1,78,FALSE
6212017HBC2,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017,plate,1,6,FALSE
6212017HBC3,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017,plate,1,14,FALSE
6212017HBC4,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017,plate,1,22,FALSE
6212017HBC5,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017,plate,1,30,TRUE
6212017HBC6,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017,plate,1,38,TRUE
6212017HBC7,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017,plate,1,54,TRUE
6212017HBC8,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017,plate,1,62,TRUE
6212017HBC9,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017,plate,1,70,FALSE
6212017HBD1,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017,plate,1,86,FALSE
6212017HBD10,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017,plate,1,79,FALSE
6212017HBD2,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017,plate,1,94,FALSE
6212017HBD3,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017,plate,1,7,FALSE
6212017HBD4,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017,plate,1,15,FALSE
6212017HBD5,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017,plate,1,23,FALSE
6212017HBD6,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017,plate,1,31,FALSE
6212017HBD7,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017,plate,1,47,TRUE
6212017HBD8,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017,plate,1,63,TRUE
6212017HBD9,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017,plate,1,71,TRUE
6212017HBPoolA1,sample,pool,6,21,2017,HickoryBottoms,A,6,7,2017,Isolate,NA,NA,NA
6212017HBPoolA2,sample,pool,6,21,2017,HickoryBottoms,A,6,7,2017,Isolate,NA,NA,NA
6212017HBPoolA3,sample,pool,6,21,2017,HickoryBottoms,A,6,7,2017,Isolate,NA,NA,NA
6212017HBPoolA4,sample,pool,6,21,2017,HickoryBottoms,A,6,7,2017,Isolate,NA,NA,NA
6212017HBPoolB1,sample,pool,6,21,2017,HickoryBottoms,B,6,7,2017,Isolate,NA,NA,NA
