#Sample ID	SampleType	BatchType	CollectionMonth	Site	Roost	Source	ContamArea	SiteRoost	SiteMonth	SiteRoostMonth
6212017EGA1	sample	single	June	EN	A	plate	TRUE	EN-A	EN-June	EN-A-June
6212017EGA2	sample	single	June	EN	A	plate	TRUE	EN-A	EN-June	EN-A-June
6212017EGA3	sample	single	June	EN	A	plate	FALSE	EN-A	EN-June	EN-A-June
6212017EGA4	sample	single	June	EN	A	plate	FALSE	EN-A	EN-June	EN-A-June
6212017EGB1	sample	single	June	EN	B	plate	FALSE	EN-B	EN-June	EN-B-June
6212017EGB10	sample	single	June	EN	B	plate	FALSE	EN-B	EN-June	EN-B-June
6212017EGB2	sample	single	June	EN	B	plate	FALSE	EN-B	EN-June	EN-B-June
6212017EGB3	sample	single	June	EN	B	plate	FALSE	EN-B	EN-June	EN-B-June
6212017EGB4	sample	single	June	EN	B	plate	FALSE	EN-B	EN-June	EN-B-June
6212017EGB5	sample	single	June	EN	B	plate	FALSE	EN-B	EN-June	EN-B-June
6212017EGB6	sample	single	June	EN	B	plate	FALSE	EN-B	EN-June	EN-B-June
6212017EGB7	sample	single	June	EN	B	plate	FALSE	EN-B	EN-June	EN-B-June
6212017EGB8	sample	single	June	EN	B	plate	TRUE	EN-B	EN-June	EN-B-June
6212017EGB9	sample	single	June	EN	B	plate	TRUE	EN-B	EN-June	EN-B-June
6212017EGC1	sample	single	June	EN	C	plate	FALSE	EN-C	EN-June	EN-C-June
6212017EGC10	sample	single	June	EN	C	plate	TRUE	EN-C	EN-June	EN-C-June
6212017EGC2	sample	single	June	EN	C	plate	FALSE	EN-C	EN-June	EN-C-June
6212017EGC3	sample	single	June	EN	C	plate	FALSE	EN-C	EN-June	EN-C-June
6212017EGC4	sample	single	June	EN	C	plate	FALSE	EN-C	EN-June	EN-C-June
6212017EGC5	sample	single	June	EN	C	plate	FALSE	EN-C	EN-June	EN-C-June
6212017EGC6	sample	single	June	EN	C	plate	FALSE	EN-C	EN-June	EN-C-June
6212017EGC7	sample	single	June	EN	C	plate	FALSE	EN-C	EN-June	EN-C-June
6212017EGC8	sample	single	June	EN	C	plate	FALSE	EN-C	EN-June	EN-C-June
6212017EGC9	sample	single	June	EN	C	plate	TRUE	EN-C	EN-June	EN-C-June
6212017EGD1	sample	single	June	EN	D	plate	TRUE	EN-D	EN-June	EN-D-June
6212017EGD10	sample	single	June	EN	D	plate	FALSE	EN-D	EN-June	EN-D-June
6212017EGD2	sample	single	June	EN	D	plate	TRUE	EN-D	EN-June	EN-D-June
6212017EGD3	sample	single	June	EN	D	plate	FALSE	EN-D	EN-June	EN-D-June
6212017EGD4	sample	single	June	EN	D	plate	FALSE	EN-D	EN-June	EN-D-June
6212017EGD5	sample	single	June	EN	D	plate	FALSE	EN-D	EN-June	EN-D-June
6212017EGD6	sample	single	June	EN	D	plate	FALSE	EN-D	EN-June	EN-D-June
6212017EGD7	sample	single	June	EN	D	plate	FALSE	EN-D	EN-June	EN-D-June
6212017EGD8	sample	single	June	EN	D	plate	FALSE	EN-D	EN-June	EN-D-June
6212017EGD9	sample	single	June	EN	D	plate	FALSE	EN-D	EN-June	EN-D-June
6212017EgnerPoolC1	sample	pool	June	EN	C	Isolate	isolate	EN-C	EN-June	EN-C-June
6212017EgnerPoolC2	sample	pool	June	EN	C	Isolate	isolate	EN-C	EN-June	EN-C-June
6212017EgnerPoolC3	sample	pool	June	EN	C	Isolate	isolate	EN-C	EN-June	EN-C-June
