FeatureID,Class,Order,Family,Genus,Species,Classifier
795720180b35fc2fb85956435ea06508,Arachnida,Araneae,Agelenidae,Agelenopsis,NA,VSEARCH
79f33868abee420faa529b31aefc8d10,Arachnida,Araneae,Anyphaenidae,Anyphaena,Anyphaena pectorosa,VSEARCH
1146ff1c2c575257ae2af1fe5d7e1d27,Arachnida,Araneae,Anyphaenidae,Anyphaena,NA,VSEARCH
38033cd154e9e4d8182538620a876590,Arachnida,Araneae,Anyphaenidae,Wulfila,NA,sklearn
159da121d36f604b2635c3d97c64e5c7,Arachnida,Araneae,Anyphaenidae,Wulfila,NA,sklearn
d00be96603af70a767911af8833ba693,Arachnida,Araneae,Araneidae,Araneus,Araneus guttulatus,sklearn
52badf40e8888534dca3a0db83bb63d7,Arachnida,Araneae,Araneidae,Araneus,Araneus guttulatus,sklearn
3befeec458c75a1dae69424576464a07,Arachnida,Araneae,Araneidae,Araneus,Araneus guttulatus,sklearn
e33dd78f03c7f65175cffaf26e204672,Arachnida,Araneae,Araneidae,Araneus,Araneus guttulatus,sklearn
1ecb4c6a93ac689177cc5e605b91e0c0,Arachnida,Araneae,Araneidae,Araneus,Araneus guttulatus,VSEARCH
a9bccdad11fed67f692e79623945b404,Arachnida,Araneae,Araneidae,Araneus,Araneus guttulatus,VSEARCH
77aa41a5acc09fc2b2cb782634de2ddc,Arachnida,Araneae,Araneidae,Araneus,Araneus marmoreus,VSEARCH
3a1348a8cb180bf7e9dbf3049c1571c1,Arachnida,Araneae,Araneidae,Araneus,Araneus pegnia,sklearn
d235ebcfef5205da78f294a6a6b4a49d,Arachnida,Araneae,Araneidae,Araneus,Araneus pegnia,sklearn
90544265d69d79181f72c7b2529de412,Arachnida,Araneae,Araneidae,Araneus,Araneus thaddeus,sklearn
a1cfe0335c0c447b1e4944f81e472a0c,Arachnida,Araneae,Araneidae,Eustala,Eustala cepina,VSEARCH
2e379260d094e02449063e6461bef9ef,Arachnida,Araneae,Araneidae,Eustala,Eustala cepina,VSEARCH
88250f183ef344c96ece4beb69f82d31,Arachnida,Araneae,Araneidae,Eustala,Eustala emertoni,sklearn
7e77fcb9f7d4f893a006f6fd468c83c9,Arachnida,Araneae,Araneidae,Eustala,Eustala rosae,VSEARCH
65d5fa6d7e70a2048699fd898caf1fca,Arachnida,Araneae,Araneidae,Eustala,NA,VSEARCH
cf92faaa9dd6ac238287bfbf2f2d1315,Arachnida,Araneae,Araneidae,Larinioides,Larinioides cornutus,VSEARCH
466c3499623d8afb49560f7b43f316b2,Arachnida,Araneae,Araneidae,Larinioides,Larinioides cornutus,VSEARCH
9d5bb8ca8a9ba45d849ecf900b6716d2,Arachnida,Araneae,Araneidae,Mangora,Mangora maculata,VSEARCH
df49f349aac347c42c8f6e2fb3185b90,Arachnida,Araneae,Araneidae,Mangora,Mangora placida,sklearn
311310d115cf86c27b5b7ca711998715,Arachnida,Araneae,Araneidae,Mangora,Mangora placida,sklearn
0e1528da18c7b52dcdd44ace8deb441d,Arachnida,Araneae,Araneidae,Mastophora,Mastophora phrynosoma,sklearn
cfe6cda97b772272c8601e86e083478c,Arachnida,Araneae,Araneidae,Mecynogea,Mecynogea lemniscata,VSEARCH
d4ebdfff2f632287ba46e8dbea1da61c,Arachnida,Araneae,Araneidae,Metepeira,NA,VSEARCH
3a3de173c78ce02115dd24a20916715e,Arachnida,Araneae,Araneidae,Micrathena,NA,sklearn
61f31d85381e62d010d63a4d238577f3,Arachnida,Araneae,Araneidae,Neoscona,Neoscona arabesca,VSEARCH
d0f166d6a33f04359d7db697d1cb9698,Arachnida,Araneae,Araneidae,Neoscona,Neoscona sp. 1GAB,VSEARCH
0e4d88b9e819fabe1d7cb2d1bd224d1b,Arachnida,Araneae,Araneidae,Verrucosa,Verrucosa arenata,VSEARCH
746812800d597c9204ea246fbbd701d3,Arachnida,Araneae,Araneidae,NA,NA,sklearn
bce1abc12736cc1b2b810549791267c8,Arachnida,Araneae,Araneidae,NA,NA,sklearn
3c12767fa831a44337e2f9e4b9bf3bc2,Arachnida,Araneae,Araneidae,NA,NA,sklearn
54cc2ecba1726a5a0fb7459b7cdb4b2e,Arachnida,Araneae,Araneidae,NA,NA,VSEARCH
afb1181c8bd627c6374482dae709fe0c,Arachnida,Araneae,Araneidae,NA,NA,VSEARCH
078fec1da0d3379e4fa898eb6692905a,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona abboti,VSEARCH
fee085f4d7b4f31f5f35e4fc11726f16,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona obesa,VSEARCH
3f51496909f3ca38c07fbb2a39615e8e,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona pygmaea,VSEARCH
e208b316f6615f8756244b151d382732,Arachnida,Araneae,Dictynidae,Emblyna,Emblyna sublata,sklearn
ec4c0d734f4db5ac9afb49c509c47b0b,Arachnida,Araneae,Dictynidae,Emblyna,Emblyna sublata,VSEARCH
97d753c564edc0e4ddfe4245f52e9c51,Arachnida,Araneae,Dictynidae,Emblyna,Emblyna sublata,VSEARCH
866056b57346423e590374324000881c,Arachnida,Araneae,Linyphiidae,Mermessus,Mermessus tridentatus,sklearn
fea662aede126bbddf2a654b9fddaa42,Arachnida,Araneae,Lycosidae,Pirata,Pirata alachuus,VSEARCH
84246a3daac330cbab0972baa5fc7def,Arachnida,Araneae,Lycosidae,Pirata,Pirata sedentarius,VSEARCH
93ecfa119b879a067c141f672b93db5a,Arachnida,Araneae,Mimetidae,Mimetus,Mimetus puritanus,sklearn
6f5ea8646f2a998837a4f4d09d8849f9,Arachnida,Araneae,Philodromidae,Philodromus,Philodromus keyserlingi,VSEARCH
8e428d5e85250f1aca5b7ed92744ef9e,Arachnida,Araneae,Philodromidae,Philodromus,Philodromus minutus,VSEARCH
aa23c415d8bf2b4fc9d649599a2d91ba,Arachnida,Araneae,Philodromidae,Philodromus,Philodromus rufus,VSEARCH
bb2adb53e0484881bcdd71cda3ad6299,Arachnida,Araneae,Philodromidae,Philodromus,Philodromus rufus,VSEARCH
b204c29663c2f65148b84cffe5356345,Arachnida,Araneae,Philodromidae,Philodromus,Philodromus vulgaris,sklearn
564c9aa49d1f57d06546ed4bb816650d,Arachnida,Araneae,Pisauridae,Dolomedes,Dolomedes scriptus,VSEARCH
6acf174b9dce7a33ca0ce54ad00d5c6b,Arachnida,Araneae,Pisauridae,Dolomedes,Dolomedes striatus,VSEARCH
f07a9c441ebd2dcb920a157a490e922f,Arachnida,Araneae,Pisauridae,Pisaurina,Pisaurina mira,VSEARCH
8e7fcf2a47690eb41974b667f784f38f,Arachnida,Araneae,Salticidae,Eris,Eris militaris,VSEARCH
98d7d5c64d4e004fa54148a377701f69,Arachnida,Araneae,Salticidae,Hentzia,NA,sklearn
0235bad502b6b2499724d44a83852f18,Arachnida,Araneae,Salticidae,Hentzia,NA,sklearn
44283295767fe130a965ca4d14968777,Arachnida,Araneae,Salticidae,Paraphidippus,Paraphidippus aurantius,sklearn
a024fc28d079d7f886c27ca2de13b65a,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge venusta,VSEARCH
eae35ebb8aff8fa1779e68fc1cd63e6e,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Tetragnatha elongata,VSEARCH
0ba6bd638e8ca55689dbf03f655e2c35,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Tetragnatha guatemalensis,VSEARCH
ace4179b3889d821ef7a22a99fbe7e10,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Tetragnatha guatemalensis,VSEARCH
0e8a2841677f7cf3b03b7893396caecd,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Tetragnatha shoshone,VSEARCH
5fbef9f10927a535045c00b048c4f111,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Tetragnatha viridis,sklearn
a67955af6d429c0fd4da40e381f3dc23,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Tetragnatha viridis,VSEARCH
a2c79adaa724ea096b1eb36f81396f32,Arachnida,Araneae,Tetragnathidae,Tetragnatha,NA,sklearn
60a31f108b63f180b31fddf6e87b9ede,Arachnida,Araneae,Theridiidae,Anelosimus,Anelosimus studiosus,sklearn
9d304bca8c447ae6c1fbd8ed92d66539,Arachnida,Araneae,Theridiidae,Dipoena,Dipoena nigra,sklearn
98feddacdff4b94c82e2a50cb2e0b2d5,Arachnida,Araneae,Theridiidae,Dipoena,Dipoena nigra,VSEARCH
1ec617466cf6b3e5934156aa91e2e444,Arachnida,Araneae,Theridiidae,Euryopis,Euryopis funebris,VSEARCH
338223da3abd493d250b363d8dd833f2,Arachnida,Araneae,Theridiidae,Neospintharus,Neospintharus trigonum,VSEARCH
2e988283ad7725d048dcb03ddaced024,Arachnida,Araneae,Theridiidae,Parasteatoda,Parasteatoda tepidariorum,sklearn
86d26dd555f1bbdcd7afd06fa6b40960,Arachnida,Araneae,Theridiidae,Platnickina,Platnickina alabamensis,VSEARCH
c5b91c134e87ff90544b26a90b30194d,Arachnida,Araneae,Theridiidae,Theridion,Theridion albidum,sklearn
224d1b6fb9e7bfff45493fa76834e9aa,Arachnida,Araneae,Theridiidae,Theridion,Theridion albidum,VSEARCH
6eb89f267830d1aa9c24ae073ded6d14,Arachnida,Araneae,Theridiidae,Theridion,Theridion albidum,VSEARCH
2fba421c5d9bab8b057ab02b3882b58e,Arachnida,Araneae,Theridiidae,Theridion,Theridion glaucescens,sklearn
551aec15db14ba8e6d9a927b43ea105a,Arachnida,Araneae,Theridiidae,Theridion,Theridion glaucescens,sklearn
90009a61dd0a43ab88e7add03d8464db,Arachnida,Araneae,Theridiidae,Theridion,Theridion murarium,VSEARCH
79314d1061e44920e5d4920f3c6bff66,Arachnida,Araneae,Theridiidae,Thymoites,Thymoites unimaculatus,sklearn
1690a1444a8479fa62b5d2ceaa8f0b17,Arachnida,Araneae,Theridiidae,Thymoites,Thymoites unimaculatus,sklearn
2ae25d61d9ae54ed5798719061ee09c3,Arachnida,Araneae,Theridiidae,Wamba,Wamba crispulus,VSEARCH
fcbcf9e2c39bc12565ddd2fc1b8f100a,Arachnida,Araneae,Thomisidae,Tmarus,Tmarus angulatus,sklearn
6a056b42d75944093cfaf1904222e0a5,Arachnida,Araneae,Thomisidae,Tmarus,Tmarus angulatus,VSEARCH
ad177e11a96f70f5e353545b29160322,Arachnida,Araneae,Thomisidae,Tmarus,Tmarus angulatus,VSEARCH
d2241a0d3823dabb6c6980707dcfeb19,Arachnida,Araneae,Thomisidae,Xysticus,Xysticus fraternus,VSEARCH
bedf203cb90ba9e4c579a00660300d19,Arachnida,Araneae,Trachelidae,Trachelas,Trachelas similis,VSEARCH
3075d08238dfb2044329d01621418775,Arachnida,Araneae,Uloboridae,Hyptiotes,Hyptiotes cavatus,sklearn
d32373068595cac845c5147d19b51826,Arachnida,Mesostigmata,Blattisociidae,NA,NA,sklearn
4fb5d62591a6bb6028caef9f0f702245,Arachnida,Mesostigmata,Dermanyssidae,Dermanyssus,NA,sklearn
cb7d9d3afc66a56641de13e59b335416,Arachnida,Trombidiformes,Arrenuridae,Arrenurus,NA,sklearn
1a7b07d0286890b159b2e2f599a126d8,Arachnida,Trombidiformes,Arrenuridae,Arrenurus,NA,sklearn
