Order,Family,Genus,Species,nSamples
Araneae,Araneidae,Eustala,sp.,142
Araneae,Tetragnathidae,Tetragnatha,Tetragnatha elongata,34
Araneae,Araneidae,Eustala,Eustala cepina,33
Araneae,Anyphaenidae,Anyphaena,Anyphaena pectorosa,27
Araneae,Theridiidae,Theridion,Theridion albidum,24
Araneae,Tetragnathidae,Leucauge,Leucauge venusta,22
Araneae,Araneidae,Neoscona,Neoscona sp. 1GAB,21
Coleoptera,Ptilodactylidae,Ptilodactyla,sp.,35
Diptera,Culicidae,Undetermined,sp.,133
Diptera,Limoniidae,Undetermined,sp.,130
Diptera,Limoniidae,Rhipidia,sp.,120
Diptera,Culicidae,Culex,Culex erraticus,118
Diptera,Limoniidae,Epiphragma,Epiphragma solatrix,110
Diptera,Limoniidae,Erioptera,Erioptera caliptera,101
Diptera,Chironomidae,Chironomus,sp.,91
Diptera,Limoniidae,Erioptera,Erioptera parva,88
Diptera,Chironomidae,Undetermined,sp.,77
Diptera,Chironomidae,Glyptotendipes,sp.,68
Diptera,Tipulidae,Nephrotoma,Nephrotoma ferruginea,67
Diptera,Limoniidae,Helius,Helius flavipes,63
Diptera,Culicidae,Coquillettidia,Coquillettidia perturbans,49
Diptera,Culicidae,Uranotaenia,Uranotaenia sapphirina,49
Diptera,Chironomidae,Glyptotendipes,Glyptotendipes meridionalis,48
Diptera,Limoniidae,Metalimnobia,Metalimnobia triocellata,48
Diptera,Tabanidae,Tabanus,Tabanus similis,36
Diptera,Chaoboridae,Chaoborus,Chaoborus punctipennis,35
Diptera,Culicidae,Culex,Culex territans,34
Diptera,Tabanidae,Undetermined,sp.,34
Diptera,Chironomidae,Axarus,Axarus festivus,31
Diptera,Dolichopodidae,Undetermined,sp.,30
Diptera,Psychodidae,Undetermined,sp.,28
Diptera,Tipulidae,Nephrotoma,Nephrotoma okefenoke,26
Diptera,Tipulidae,Tipula,sp.,22
Diptera,Limoniidae,Gonomyia,sp.,20
Diptera,Limoniidae,Pseudolimnophila,Pseudolimnophila luteipennis,20
Ephemeroptera,Heptageniidae,Stenacron,Stenacron interpunctatum,27
Hemiptera,Flatidae,Undetermined,sp.,24
Lepidoptera,Tineidae,Acrolophus,Acrolophus mortipennella,49
Lepidoptera,Tortricidae,Clepsis,Clepsis peritana,28
Lepidoptera,Tortricidae,Choristoneura,sp.,27
Lepidoptera,Gelechiidae,Coleotechnites,Coleotechnites florae,20
Lepidoptera,Oecophoridae,Inga,Inga sparsiciliella,20
Psocodea,Psocidae,Metylophorus,Metylophorus novaescotiae,51
Psocodea,Psocidae,Blaste,Blaste sp. 2KJEM,20
Trichoptera,Hydropsychidae,Potamyia,Potamyia flava,24
