SampleID,Myotis lucifugus,Myotis sodalis,Nycticeius humeralis,multihit,sumBatReads
6212017EGA1,5,1333,NA,TRUE,1338
6212017EGA2,NA,71,1361,TRUE,1432
6212017EGA3,NA,258,NA,FALSE,258
6212017EGA4,NA,102,NA,FALSE,102
6212017EGB1,NA,198,NA,FALSE,198
6212017EGB10,NA,653,NA,FALSE,653
6212017EGB2,NA,420,NA,FALSE,420
6212017EGB3,NA,10,NA,FALSE,10
6212017EGB4,NA,11,NA,FALSE,11
6212017EGB5,NA,26,NA,FALSE,26
6212017EGB7,NA,161,NA,FALSE,161
6212017EGB8,NA,3229,NA,FALSE,3229
6212017EGB9,NA,743,NA,FALSE,743
6212017EGC1,NA,335,NA,FALSE,335
6212017EGC10,NA,149,NA,FALSE,149
6212017EGC2,NA,1010,NA,FALSE,1010
6212017EGC3,NA,245,NA,FALSE,245
6212017EGC4,NA,1382,NA,FALSE,1382
6212017EGC5,NA,12192,NA,FALSE,12192
6212017EGC6,NA,167,NA,FALSE,167
6212017EGC7,NA,178,NA,FALSE,178
6212017EGC8,NA,1978,NA,FALSE,1978
6212017EGC9,3,399,NA,TRUE,402
6212017EGD1,NA,356,NA,FALSE,356
6212017EGD10,74,156,NA,TRUE,230
6212017EGD2,NA,7661,NA,FALSE,7661
6212017EGD3,NA,280,NA,FALSE,280
6212017EGD4,NA,467,NA,FALSE,467
6212017EGD5,NA,6,NA,FALSE,6
6212017EGD6,NA,597,NA,FALSE,597
6212017EGD7,NA,458,NA,FALSE,458
6212017EGD9,14,316,NA,TRUE,330
6212017EgnerPoolC1,NA,4784,NA,FALSE,4784
6212017EgnerPoolC2,NA,6722,NA,FALSE,6722
6212017EgnerPoolC3,NA,16308,NA,FALSE,16308
6212017EgnerPoolC4,NA,5560,NA,FALSE,5560
6212017EgnerPoolD1,NA,1421,NA,FALSE,1421
6212017EgnerPoolD2,NA,901,NA,FALSE,901
6212017EgnerPoolD3,NA,1029,NA,FALSE,1029
6212017EgnerPoolD4,NA,876,NA,FALSE,876
6212017HBA1,NA,13,NA,FALSE,13
6212017HBA10,100,NA,NA,FALSE,100
6212017HBA2,NA,349,NA,FALSE,349
6212017HBA3,4972,NA,NA,FALSE,4972
6212017HBA4,NA,205,NA,FALSE,205
6212017HBA5,NA,41,NA,FALSE,41
6212017HBA6,NA,127,NA,FALSE,127
6212017HBA7,NA,281,NA,FALSE,281
6212017HBA8,NA,394,NA,FALSE,394
6212017HBA9,NA,10,NA,FALSE,10
6212017HBB1,370,NA,NA,FALSE,370
6212017HBB10,NA,1333,NA,FALSE,1333
6212017HBB2,NA,24,NA,FALSE,24
6212017HBB4,14193,NA,NA,FALSE,14193
6212017HBB5,NA,178,NA,FALSE,178
6212017HBB6,NA,183,NA,FALSE,183
6212017HBB7,165,NA,NA,FALSE,165
6212017HBB9,NA,48,NA,FALSE,48
6212017HBC10,NA,8,NA,FALSE,8
6212017HBC3,NA,1149,NA,FALSE,1149
6212017HBC4,NA,756,NA,FALSE,756
6212017HBC5,NA,110,NA,FALSE,110
6212017HBC6,NA,7043,NA,FALSE,7043
6212017HBC7,NA,163,NA,FALSE,163
6212017HBC9,NA,21,NA,FALSE,21
6212017HBD1,6,954,NA,TRUE,960
6212017HBD3,4,14,NA,TRUE,18
6212017HBD4,NA,197,NA,FALSE,197
6212017HBD5,NA,178,NA,FALSE,178
6212017HBD7,NA,213,NA,FALSE,213
6212017HBD8,NA,156,NA,FALSE,156
6212017HBD9,NA,3,NA,FALSE,3
6212017HBPoolA2,NA,652,NA,FALSE,652
6212017HBPoolC2,NA,213,NA,FALSE,213
6212017HBPoolC3,NA,89,NA,FALSE,89
6212017HBPoolC4,NA,56,NA,FALSE,56
6212017HBPoolD1,11,63,NA,TRUE,74
6212017HBPoolD2,NA,80,NA,FALSE,80
6212017HBPoolD4,NA,151,NA,FALSE,151
72717EgnerPoolB1,NA,321,NA,FALSE,321
72717EgnerPoolB2,NA,15,NA,FALSE,15
72717EgnerPoolB3,NA,117,NA,FALSE,117
72717EgnerPoolB4,NA,129,NA,FALSE,129
72717HBPoolB1,NA,1331,NA,FALSE,1331
72717HBPoolB2,NA,792,NA,FALSE,792
72717HBPoolB3,NA,1414,NA,FALSE,1414
72717HBPoolB4,NA,1117,NA,FALSE,1117
72717HBPoolC1,NA,204,NA,FALSE,204
72717HBPoolC3,NA,100,NA,FALSE,100
72717HBPoolC4,NA,3,NA,FALSE,3
7272017EGA1,NA,6,NA,FALSE,6
7272017EGA3,NA,25,NA,FALSE,25
7272017EGA4,7,1830,NA,TRUE,1837
7272017EGA5,70,37,NA,TRUE,107
7272017EGB1,11,58,NA,TRUE,69
7272017EGB2,NA,4734,NA,FALSE,4734
7272017EGB5,NA,10,NA,FALSE,10
7272017EGB6,NA,82,NA,FALSE,82
7272017EGB7,NA,34,NA,FALSE,34
7272017EGB8,NA,12,NA,FALSE,12
7272017EGB9,NA,10215,NA,FALSE,10215
7272017EGC10,NA,3,NA,FALSE,3
7272017EGC3,NA,1216,NA,FALSE,1216
7272017EGC7,NA,129,NA,FALSE,129
7272017EGC8,NA,12,NA,FALSE,12
7272017EGD1,NA,1043,NA,FALSE,1043
7272017EGD2,NA,319,NA,FALSE,319
7272017EGD3,NA,90,NA,FALSE,90
7272017EGD5,NA,26,NA,FALSE,26
7272017EGD6,NA,36,NA,FALSE,36
7272017EGD9,NA,89,NA,FALSE,89
7272017EgnerPoolC1,NA,86,NA,FALSE,86
7272017EgnerPoolC2,NA,637,NA,FALSE,637
7272017EgnerPoolD3,NA,86,NA,FALSE,86
7272017EgnerPoolD4,NA,36,NA,FALSE,36
7272017HBA3,NA,66,NA,FALSE,66
7272017HBA5,NA,256,NA,FALSE,256
7272017HBB1,NA,488,NA,FALSE,488
7272017HBB10,NA,18176,NA,FALSE,18176
7272017HBB2,NA,13066,NA,FALSE,13066
7272017HBB3,NA,10329,NA,FALSE,10329
7272017HBB4,NA,1634,NA,FALSE,1634
7272017HBB5,NA,16460,NA,FALSE,16460
7272017HBB6,NA,29105,NA,FALSE,29105
7272017HBB7,NA,14170,NA,FALSE,14170
7272017HBB8,NA,15016,NA,FALSE,15016
7272017HBB9,NA,641,NA,FALSE,641
7272017HBC3,NA,1062,NA,FALSE,1062
7272017HBC5,NA,2424,NA,FALSE,2424
7272017HBC6,NA,405,NA,FALSE,405
7272017HBC9,NA,64,NA,FALSE,64
7272017HBD1,NA,134,NA,FALSE,134
7272017HBD2,NA,11,NA,FALSE,11
7272017HBD4,NA,12,NA,FALSE,12
7272017HBD5,NA,520,NA,FALSE,520
7272017HBD6,NA,813,NA,FALSE,813
7272017HBD7,NA,127,NA,FALSE,127
7272017HBPoolA1,NA,101,NA,FALSE,101
7272017HBPoolA2,NA,35,NA,FALSE,35
7272017HBPoolA4,NA,62,NA,FALSE,62
7272017HBPoolD1,NA,281,NA,FALSE,281
7272017HBPoolD2,NA,386,NA,FALSE,386
7272017HBPoolD3,NA,3312,NA,FALSE,3312
7272017HBPoolD4,NA,627,NA,FALSE,627
91517HBPoolD1,NA,95,NA,FALSE,95
