FeatureID,Class,Order,Family,Genus,Species,Classifier,nDetections,nReads,pDetections,pReads
65d5fa6d7e70a2048699fd898caf1fca,Arachnida,Araneae,Araneidae,Eustala,NA,VSEARCH,142,714723,0.7513227513227513,0.12738434721855862
eae35ebb8aff8fa1779e68fc1cd63e6e,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Tetragnatha elongata,VSEARCH,34,7586,0.17989417989417988,0.0013520449992514383
a1cfe0335c0c447b1e4944f81e472a0c,Arachnida,Araneae,Araneidae,Eustala,Eustala cepina,VSEARCH,33,10468,0.1746031746031746,0.0018657009032644418
79f33868abee420faa529b31aefc8d10,Arachnida,Araneae,Anyphaenidae,Anyphaena,Anyphaena pectorosa,VSEARCH,27,5142,0.14285714285714285,9.164533859940543e-4
224d1b6fb9e7bfff45493fa76834e9aa,Arachnida,Araneae,Theridiidae,Theridion,Theridion albidum,VSEARCH,24,5320,0.12698412698412698,9.481781434244202e-4
a024fc28d079d7f886c27ca2de13b65a,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge venusta,VSEARCH,22,35878,0.1164021164021164,0.006394499140936344
d0f166d6a33f04359d7db697d1cb9698,Arachnida,Araneae,Araneidae,Neoscona,Neoscona sp. 1GAB,VSEARCH,21,4092,0.1111111111111111,7.293129629497608e-4
1ec617466cf6b3e5934156aa91e2e444,Arachnida,Araneae,Theridiidae,Euryopis,Euryopis funebris,VSEARCH,16,7521,0.08465608465608465,0.001340460115920125
d4ebdfff2f632287ba46e8dbea1da61c,Arachnida,Araneae,Araneidae,Metepeira,NA,VSEARCH,15,3129,0.07936507936507936,5.576784606719945e-4
9d304bca8c447ae6c1fbd8ed92d66539,Arachnida,Araneae,Theridiidae,Dipoena,Dipoena nigra,sklearn,14,17300,0.07407407407407407,0.003083361255872645
afb1181c8bd627c6374482dae709fe0c,Arachnida,Araneae,Araneidae,NA,NA,VSEARCH,14,568,0.07407407407407407,1.0123405741824637e-4
a9bccdad11fed67f692e79623945b404,Arachnida,Araneae,Araneidae,Araneus,Araneus guttulatus,VSEARCH,12,1565,0.06349206349206349,2.789283448231612e-4
1ecb4c6a93ac689177cc5e605b91e0c0,Arachnida,Araneae,Araneidae,Araneus,Araneus guttulatus,VSEARCH,10,8139,0.05291005291005291,0.0014506056220547662
2fba421c5d9bab8b057ab02b3882b58e,Arachnida,Araneae,Theridiidae,Theridion,Theridion glaucescens,sklearn,9,10039,0.047619047619047616,0.0017892406732777735
a67955af6d429c0fd4da40e381f3dc23,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Tetragnatha viridis,VSEARCH,9,2525,0.047619047619047616,4.500281601779438e-4
ec4c0d734f4db5ac9afb49c509c47b0b,Arachnida,Araneae,Dictynidae,Emblyna,Emblyna sublata,VSEARCH,9,4713,0.047619047619047616,8.399931560073859e-4
54cc2ecba1726a5a0fb7459b7cdb4b2e,Arachnida,Araneae,Araneidae,NA,NA,VSEARCH,6,2191,0.031746031746031744,3.904996827524257e-4
564c9aa49d1f57d06546ed4bb816650d,Arachnida,Araneae,Pisauridae,Dolomedes,Dolomedes scriptus,VSEARCH,6,2088,0.031746031746031744,3.7214209839665216e-4
61f31d85381e62d010d63a4d238577f3,Arachnida,Araneae,Araneidae,Neoscona,Neoscona arabesca,VSEARCH,6,310,0.031746031746031744,5.525098204164855e-5
