SampleID,SampleType,BatchType,Roost,CollectionMonth,Site,sumNonBatReads,nASVs,Myotis lucifugus,Myotis sodalis,Nycticeius humeralis,multihit,sumBatReads
6212017EGA1,sample,single,A,6,Egner,37447,87,5,2223,NA,TRUE,2228
6212017EGA2,sample,single,A,6,Egner,37160,78,24,68,2247,TRUE,2339
6212017EGA3,sample,single,A,6,Egner,41034,76,NA,198,NA,FALSE,198
6212017EGA4,sample,single,A,6,Egner,35439,57,NA,94,NA,FALSE,94
6212017EGB1,sample,single,B,6,Egner,36092,59,NA,198,NA,FALSE,198
6212017EGB10,sample,single,B,6,Egner,25332,52,NA,629,NA,FALSE,629
6212017EGB2,sample,single,B,6,Egner,20747,53,NA,401,NA,FALSE,401
6212017EGB3,sample,single,B,6,Egner,33801,87,NA,8,NA,FALSE,8
6212017EGB4,sample,single,B,6,Egner,24835,16,NA,9,NA,FALSE,9
6212017EGB5,sample,single,B,6,Egner,32192,34,NA,25,NA,FALSE,25
6212017EGB6,sample,single,B,6,Egner,29668,22,NA,41,NA,FALSE,41
6212017EGB7,sample,single,B,6,Egner,19733,56,NA,153,NA,FALSE,153
6212017EGB8,sample,single,B,6,Egner,43589,68,NA,3039,NA,FALSE,3039
6212017EGB9,sample,single,B,6,Egner,34018,35,NA,706,NA,FALSE,706
6212017EGC1,sample,single,C,6,Egner,40846,55,NA,321,NA,FALSE,321
6212017EGC10,sample,single,C,6,Egner,37033,21,NA,228,NA,FALSE,228
6212017EGC2,sample,single,C,6,Egner,30529,51,NA,964,NA,FALSE,964
6212017EGC3,sample,single,C,6,Egner,26156,48,NA,230,NA,FALSE,230
6212017EGC4,sample,single,C,6,Egner,32294,63,NA,1283,NA,FALSE,1283
6212017EGC5,sample,single,C,6,Egner,23131,51,NA,11622,NA,FALSE,11622
6212017EGC6,sample,single,C,6,Egner,44678,62,NA,164,NA,FALSE,164
6212017EGC7,sample,single,C,6,Egner,24054,82,NA,242,NA,FALSE,242
6212017EGC8,sample,single,C,6,Egner,22747,48,NA,1926,NA,FALSE,1926
6212017EGC9,sample,single,C,6,Egner,33679,77,3,684,NA,TRUE,687
6212017EGD1,sample,single,D,6,Egner,37494,54,NA,334,NA,FALSE,334
6212017EGD10,sample,single,D,6,Egner,57535,64,70,152,NA,TRUE,222
6212017EGD2,sample,single,D,6,Egner,32719,61,NA,7234,NA,FALSE,7234
6212017EGD3,sample,single,D,6,Egner,24576,34,NA,457,NA,FALSE,457
6212017EGD4,sample,single,D,6,Egner,24744,63,NA,391,NA,FALSE,391
6212017EGD5,sample,single,D,6,Egner,41651,27,NA,5,NA,FALSE,5
6212017EGD6,sample,single,D,6,Egner,18543,38,NA,545,NA,FALSE,545
6212017EGD7,sample,single,D,6,Egner,34764,64,NA,408,NA,FALSE,408
6212017EGD8,sample,single,D,6,Egner,25788,25,NA,7,NA,FALSE,7
6212017EGD9,sample,single,D,6,Egner,20927,55,14,264,NA,TRUE,278
6212017EgnerPoolC1,sample,pool,C,6,Egner,19135,58,NA,4710,NA,FALSE,4710
6212017EgnerPoolC2,sample,pool,C,6,Egner,31505,62,NA,6676,NA,FALSE,6676
6212017EgnerPoolC3,sample,pool,C,6,Egner,77125,75,NA,16070,NA,FALSE,16070
6212017EgnerPoolC4,sample,pool,C,6,Egner,29690,59,NA,5548,NA,FALSE,5548
6212017EgnerPoolD1,sample,pool,D,6,Egner,22661,72,NA,1378,NA,FALSE,1378
6212017EgnerPoolD2,sample,pool,D,6,Egner,23536,55,NA,804,NA,FALSE,804
6212017EgnerPoolD3,sample,pool,D,6,Egner,28524,62,NA,1070,NA,FALSE,1070
6212017EgnerPoolD4,sample,pool,D,6,Egner,27194,78,NA,747,NA,FALSE,747
6212017HBA1,sample,single,A,6,HickoryBottoms,27213,48,NA,13,NA,FALSE,13
6212017HBA10,sample,single,A,6,HickoryBottoms,27489,27,99,NA,NA,FALSE,99
6212017HBA2,sample,single,A,6,HickoryBottoms,30958,43,NA,344,NA,FALSE,344
6212017HBA3,sample,single,A,6,HickoryBottoms,28405,48,4759,NA,NA,FALSE,4759
6212017HBA4,sample,single,A,6,HickoryBottoms,28817,72,NA,198,NA,FALSE,198
6212017HBA5,sample,single,A,6,HickoryBottoms,25900,36,NA,40,NA,FALSE,40
6212017HBA6,sample,single,A,6,HickoryBottoms,26949,82,NA,122,NA,FALSE,122
6212017HBA7,sample,single,A,6,HickoryBottoms,36267,60,NA,275,NA,FALSE,275
6212017HBA8,sample,single,A,6,HickoryBottoms,28793,43,NA,382,NA,FALSE,382
6212017HBA9,sample,single,A,6,HickoryBottoms,30656,74,NA,9,NA,FALSE,9
6212017HBB1,sample,single,B,6,HickoryBottoms,41011,32,366,NA,NA,FALSE,366
6212017HBB10,sample,single,B,6,HickoryBottoms,28155,79,NA,1289,NA,FALSE,1289
6212017HBB2,sample,single,B,6,HickoryBottoms,18478,34,NA,24,NA,FALSE,24
6212017HBB3,sample,single,B,6,HickoryBottoms,23503,56,NA,NA,NA,NA,NA
6212017HBB4,sample,single,B,6,HickoryBottoms,14847,14,13449,NA,NA,FALSE,13449
6212017HBB5,sample,single,B,6,HickoryBottoms,25807,25,NA,171,NA,FALSE,171
6212017HBB6,sample,single,B,6,HickoryBottoms,23388,50,NA,174,NA,FALSE,174
6212017HBB7,sample,single,B,6,HickoryBottoms,23719,30,155,NA,NA,FALSE,155
6212017HBB8,sample,single,B,6,HickoryBottoms,13044,20,NA,NA,NA,NA,NA
6212017HBB9,sample,single,B,6,HickoryBottoms,40154,17,NA,49,NA,FALSE,49
6212017HBC1,sample,single,C,6,HickoryBottoms,18392,17,NA,NA,NA,NA,NA
6212017HBC10,sample,single,C,6,HickoryBottoms,21626,46,NA,8,NA,FALSE,8
6212017HBC2,sample,single,C,6,HickoryBottoms,23317,13,NA,NA,NA,NA,NA
6212017HBC3,sample,single,C,6,HickoryBottoms,26943,87,NA,1161,NA,FALSE,1161
6212017HBC4,sample,single,C,6,HickoryBottoms,30782,38,NA,721,NA,FALSE,721
6212017HBC5,sample,single,C,6,HickoryBottoms,28556,88,NA,106,NA,FALSE,106
6212017HBC6,sample,single,C,6,HickoryBottoms,23548,72,NA,6693,NA,FALSE,6693
6212017HBC7,sample,single,C,6,HickoryBottoms,29629,94,NA,156,NA,FALSE,156
6212017HBC8,sample,single,C,6,HickoryBottoms,26933,28,NA,NA,NA,NA,NA
6212017HBC9,sample,single,C,6,HickoryBottoms,26331,42,NA,17,NA,FALSE,17
6212017HBD1,sample,single,D,6,HickoryBottoms,35740,62,NA,864,NA,FALSE,864
6212017HBD10,sample,single,D,6,HickoryBottoms,30477,16,NA,NA,NA,NA,NA
6212017HBD2,sample,single,D,6,HickoryBottoms,18375,16,NA,NA,NA,NA,NA
6212017HBD3,sample,single,D,6,HickoryBottoms,20788,71,4,16,NA,TRUE,20
6212017HBD4,sample,single,D,6,HickoryBottoms,21032,26,NA,189,NA,FALSE,189
6212017HBD5,sample,single,D,6,HickoryBottoms,29356,78,NA,171,NA,FALSE,171
6212017HBD6,sample,single,D,6,HickoryBottoms,31082,20,NA,NA,NA,NA,NA
6212017HBD7,sample,single,D,6,HickoryBottoms,26452,45,NA,211,NA,FALSE,211
6212017HBD8,sample,single,D,6,HickoryBottoms,19586,53,NA,147,NA,FALSE,147
6212017HBD9,sample,single,D,6,HickoryBottoms,26583,22,NA,NA,NA,NA,NA
6212017HBPoolA1,sample,pool,A,6,HickoryBottoms,40496,36,NA,NA,NA,NA,NA
6212017HBPoolA2,sample,pool,A,6,HickoryBottoms,48265,41,NA,1097,NA,FALSE,1097
6212017HBPoolA3,sample,pool,A,6,HickoryBottoms,70411,43,NA,NA,NA,NA,NA
6212017HBPoolA4,sample,pool,A,6,HickoryBottoms,54914,41,NA,NA,NA,NA,NA
