Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr..F.,BetaMethod,Weight,Pid,TestGroup
2,6.06152123547248,3.03076061773624,12.9967463568891,0.0828153724201885,0.001,Unifrac,TRUE,pid=100,CollectionMonth
1,1.62172246941247,1.62172246941247,6.9543980058593,0.0221567400408708,0.001,Unifrac,TRUE,pid=100,Site
3,1.36267156052417,0.454223853508055,1.94783849926834,0.0186174638984684,0.001,Unifrac,TRUE,pid=100,Roost
2,1.77462570944138,0.887312854720688,3.80504486052933,0.0242457764849145,0.001,Unifrac,TRUE,pid=100,CollectionMonth:Site
6,2.53050162051245,0.421750270085409,1.80858272150301,0.0345729109858169,0.001,Unifrac,TRUE,pid=100,CollectionMonth:Roost
3,1.33948458170539,0.446494860568462,1.91469442307763,0.0183006724179834,0.001,Unifrac,TRUE,pid=100,Site:Roost
5,2.06976356727368,0.413952713454736,1.77514462509273,0.0282780896060239,0.001,Unifrac,TRUE,pid=100,CollectionMonth:Site:Roost
242,56.4328986156906,0.233193795932606,NA,0.771012974145733,NA,Unifrac,TRUE,pid=100,Residuals
264,73.1931893600326,NA,NA,1,NA,Unifrac,TRUE,pid=100,Total
2,0.551286320322476,0.275643160161238,12.4476565515635,0.0773618372283816,0.001,Unifrac,FALSE,pid=100,CollectionMonth
1,0.173376393596363,0.173376393596363,7.82943353418896,0.024329855188135,0.001,Unifrac,FALSE,pid=100,Site
3,0.119429727634575,0.0398099092115249,1.79775938181858,0.0167595363949742,0.005,Unifrac,FALSE,pid=100,Roost
2,0.344429029019168,0.172214514509584,7.77696471247684,0.0483336181172136,0.001,Unifrac,FALSE,pid=100,CollectionMonth:Site
6,0.276544607113518,0.046090767852253,2.08139410420012,0.0388074183835875,0.001,Unifrac,FALSE,pid=100,CollectionMonth:Roost
3,0.0963871811730386,0.0321290603910129,1.45090307641891,0.0135259830435287,0.052,Unifrac,FALSE,pid=100,Site:Roost
5,0.205730784609728,0.0411461569219456,1.85810244477505,0.0288701367785348,0.004,Unifrac,FALSE,pid=100,CollectionMonth:Site:Roost
242,5.358891810896,0.0221441810367603,NA,0.752011614865644,NA,Unifrac,FALSE,pid=100,Residuals
264,7.12607585436487,NA,NA,1,NA,Unifrac,FALSE,pid=100,Total
2,6.06152123547248,3.03076061773624,12.9967463568891,0.0828153724201885,0.001,Unifrac,TRUE,pid=99,CollectionMonth
1,1.62172246941247,1.62172246941247,6.9543980058593,0.0221567400408708,0.001,Unifrac,TRUE,pid=99,Site
3,1.36267156052417,0.454223853508055,1.94783849926834,0.0186174638984684,0.001,Unifrac,TRUE,pid=99,Roost
2,1.77462570944138,0.887312854720688,3.80504486052933,0.0242457764849145,0.001,Unifrac,TRUE,pid=99,CollectionMonth:Site
6,2.53050162051245,0.421750270085409,1.80858272150301,0.0345729109858169,0.001,Unifrac,TRUE,pid=99,CollectionMonth:Roost
3,1.33948458170539,0.446494860568462,1.91469442307763,0.0183006724179834,0.001,Unifrac,TRUE,pid=99,Site:Roost
5,2.06976356727368,0.413952713454736,1.77514462509273,0.0282780896060239,0.001,Unifrac,TRUE,pid=99,CollectionMonth:Site:Roost
242,56.4328986156906,0.233193795932606,NA,0.771012974145733,NA,Unifrac,TRUE,pid=99,Residuals
264,73.1931893600326,NA,NA,1,NA,Unifrac,TRUE,pid=99,Total
