Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr..F.,BetaMethod,Pid,TestGroup
2,9.05289874146103,4.52644937073052,13.6067435243565,0.08519245559154,0.001,dice,pid=100,CollectionMonth
1,2.48434627382092,2.48434627382092,7.46807482088691,0.0233789823183573,0.001,dice,pid=100,Site
3,1.87639778630255,0.625465928767518,1.88018329134421,0.0176578728699936,0.001,dice,pid=100,Roost
2,2.834870717093,1.4174353585465,4.26088481422336,0.0266775984765655,0.001,dice,pid=100,CollectionMonth:Site
6,3.61401065751422,0.602335109585703,1.81065083923055,0.0340097079665273,0.001,dice,pid=100,CollectionMonth:Roost
3,1.79702870288532,0.599009567628439,1.80065408619393,0.0169109687780041,0.001,dice,pid=100,Site:Roost
5,3.10229537361643,0.620459074723286,1.86513242624799,0.0291942026964508,0.001,dice,pid=100,CollectionMonth:Site:Roost
245,81.5022414322625,0.332662209927602,NA,0.766978211302561,NA,dice,pid=100,Residuals
267,106.264089684956,NA,NA,1,NA,dice,pid=100,Total
2,6.89627405153968,3.44813702576984,9.17913510558031,0.0590240563722956,0.001,bray,pid=100,CollectionMonth
1,2.31108056690689,2.31108056690689,6.15222672561375,0.0197801520998972,0.001,bray,pid=100,Site
3,1.88651882051945,0.628839606839817,1.67400647589809,0.0161463991102378,0.001,bray,pid=100,Roost
2,3.89212725939928,1.94606362969964,5.18053106578061,0.0333120663491674,0.001,bray,pid=100,CollectionMonth:Site
6,4.39056351651405,0.731760586085674,1.94798792345539,0.037578098922419,0.001,bray,pid=100,CollectionMonth:Roost
3,1.95056351300809,0.650187837669363,1.73083666958964,0.0166945469233242,0.001,bray,pid=100,Site:Roost
5,3.47711954225531,0.695423908451061,1.8512576395939,0.0297600846981229,0.001,bray,pid=100,CollectionMonth:Site:Roost
245,92.0341144995274,0.375649446936847,NA,0.787704595524536,NA,bray,pid=100,Residuals
267,116.83836176967,NA,NA,1,NA,bray,pid=100,Total
2,7.00404481969981,3.50202240984991,9.50835957600294,0.060118508832273,0.001,morisita,pid=100,CollectionMonth
1,2.53343365469173,2.53343365469173,6.87853912156681,0.0217454710051513,0.001,morisita,pid=100,Site
3,1.84013298945466,0.613377663151552,1.66538493892257,0.0157945950128612,0.001,morisita,pid=100,Roost
2,4.73355675602722,2.36677837801361,6.42605249799842,0.0406300046574352,0.001,morisita,pid=100,CollectionMonth:Site
6,4.56157284835797,0.760262141392995,2.06419176303798,0.0391537982169593,0.001,morisita,pid=100,CollectionMonth:Roost
3,1.82743141578868,0.609143805262892,1.65388956896553,0.0156855723426358,0.002,morisita,pid=100,Site:Roost
5,3.76788415208632,0.753576830417263,2.04604043983232,0.0323412517348641,0.001,morisita,pid=100,CollectionMonth:Site:Roost
245,90.2359112058218,0.368309841656416,NA,0.77453079819782,NA,morisita,pid=100,Residuals
267,116.503967841928,NA,NA,1,NA,morisita,pid=100,Total
2,10.3727033400669,5.18635167003343,18.3441546180089,0.109975075619915,0.001,dice,pid=99,CollectionMonth
1,2.63455892858392,2.63455892858392,9.31844954044309,0.0279325271240496,0.001,dice,pid=99,Site
3,1.87728644377525,0.625762147925085,2.21332418739764,0.0199036559560079,0.001,dice,pid=99,Roost
