Class,Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr..F.,Metric
CollectionMonth,1,4.23429343706771,4.23429343706771,13.3691394404813,0.0623997548614822,0.001,Dice-Sorensen
Site,1,1.90883029634207,1.90883029634207,6.02684220621348,0.0281299688682891,0.001,Dice-Sorensen
CollectionMonth:Site,1,0.903888074284575,0.903888074284575,2.85388952922145,0.013320379207501,0.001,Dice-Sorensen
Residuals,192,60.8105213904277,0.316721465575144,NA,0.896149897062728,NA,Dice-Sorensen
Total,195,67.8575331981221,NA,NA,1,NA,Dice-Sorensen
CollectionMonth,1,2.1286293214298,2.1286293214298,5.29003799514488,0.0258940053628304,0.001,Bray-Curtis
Site,1,1.74182176071755,1.74182176071755,4.32874958650703,0.0211886313690442,0.001,Bray-Curtis
CollectionMonth:Site,1,1.07721091749822,1.07721091749822,2.6770685835159,0.0131038809781416,0.001,Bray-Curtis
Residuals,192,77.2578250079901,0.402384505249948,NA,0.939813482289984,NA,Bray-Curtis
Total,195,82.2054870076357,NA,NA,1,NA,Bray-Curtis
CollectionMonth,1,3.08945920171319,3.08945920171319,12.3954127944847,0.0586494108435468,0.001,Unifrac Unweighted
Site,1,1.10544985422026,1.10544985422026,4.43524460820346,0.0209855442114758,0.001,Unifrac Unweighted
CollectionMonth:Site,1,0.627330585105097,0.627330585105097,2.51695233802449,0.0119090646026816,0.002,Unifrac Unweighted
Residuals,192,47.8544907349004,0.249242139244273,NA,0.908455980342296,NA,Unifrac Unweighted
Total,195,52.676730375939,NA,NA,1,NA,Unifrac Unweighted
CollectionMonth,1,3.08945920171319,3.08945920171319,12.3954127944847,0.0586494108435468,0.001,Unifrac Weighted
Site,1,1.10544985422026,1.10544985422026,4.43524460820346,0.0209855442114758,0.001,Unifrac Weighted
CollectionMonth:Site,1,0.627330585105097,0.627330585105097,2.51695233802449,0.0119090646026816,0.001,Unifrac Weighted
Residuals,192,47.8544907349004,0.249242139244273,NA,0.908455980342296,NA,Unifrac Weighted
Total,195,52.676730375939,NA,NA,1,NA,Unifrac Weighted
