SampleID,SampleType,BatchType,Source,ContamArea,sumReads,nASVs
6212017EGA1,sample,single,plate,TRUE,37447,87
6212017EGA2,sample,single,plate,TRUE,37160,78
6212017EGA3,sample,single,plate,FALSE,41034,76
6212017EGA4,sample,single,plate,FALSE,35439,57
6212017EGB1,sample,single,plate,FALSE,36092,59
6212017EGB10,sample,single,plate,FALSE,25332,52
6212017EGB2,sample,single,plate,FALSE,20747,53
6212017EGB3,sample,single,plate,FALSE,33801,87
6212017EGB4,sample,single,plate,FALSE,24835,16
6212017EGB5,sample,single,plate,FALSE,32192,34
6212017EGB6,sample,single,plate,FALSE,29668,22
6212017EGB7,sample,single,plate,FALSE,19733,56
6212017EGB8,sample,single,plate,TRUE,43589,68
6212017EGB9,sample,single,plate,TRUE,34018,35
6212017EGC1,sample,single,plate,FALSE,40846,55
6212017EGC10,sample,single,plate,TRUE,37033,21
6212017EGC2,sample,single,plate,FALSE,30529,51
6212017EGC3,sample,single,plate,FALSE,26156,48
6212017EGC4,sample,single,plate,FALSE,32294,63
6212017EGC5,sample,single,plate,FALSE,23131,51
6212017EGC6,sample,single,plate,FALSE,44678,62
6212017EGC7,sample,single,plate,FALSE,24054,82
6212017EGC8,sample,single,plate,FALSE,22747,48
6212017EGC9,sample,single,plate,TRUE,33679,77
6212017EGD1,sample,single,plate,TRUE,37494,54
6212017EGD10,sample,single,plate,FALSE,57535,64
6212017EGD2,sample,single,plate,TRUE,32719,61
6212017EGD3,sample,single,plate,FALSE,24576,34
6212017EGD4,sample,single,plate,FALSE,24744,63
6212017EGD5,sample,single,plate,FALSE,41651,27
6212017EGD6,sample,single,plate,FALSE,18543,38
6212017EGD7,sample,single,plate,FALSE,34764,64
6212017EGD8,sample,single,plate,FALSE,25788,25
6212017EGD9,sample,single,plate,FALSE,20927,55
6212017EgnerPoolC1,sample,pool,Isolate,NA,19135,58
6212017EgnerPoolC2,sample,pool,Isolate,NA,31505,62
6212017EgnerPoolC3,sample,pool,Isolate,NA,77125,75
6212017EgnerPoolC4,sample,pool,Isolate,NA,29690,59
6212017EgnerPoolD1,sample,pool,Isolate,NA,22661,72
6212017EgnerPoolD2,sample,pool,Isolate,NA,23536,55
6212017EgnerPoolD3,sample,pool,Isolate,NA,28524,62
6212017EgnerPoolD4,sample,pool,Isolate,NA,27194,78
6212017HBA1,sample,single,plate,TRUE,27213,48
6212017HBA10,sample,single,plate,FALSE,27489,27
6212017HBA2,sample,single,plate,TRUE,30958,43
6212017HBA3,sample,single,plate,TRUE,28405,48
6212017HBA4,sample,single,plate,TRUE,28817,72
6212017HBA5,sample,single,plate,FALSE,25900,36
6212017HBA6,sample,single,plate,FALSE,26949,82
6212017HBA7,sample,single,plate,FALSE,36267,60
6212017HBA8,sample,single,plate,FALSE,28793,43
6212017HBA9,sample,single,plate,FALSE,30656,74
6212017HBB1,sample,single,plate,FALSE,41011,32
6212017HBB10,sample,single,plate,FALSE,28155,79
6212017HBB2,sample,single,plate,FALSE,18478,34
6212017HBB3,sample,single,plate,TRUE,23503,56
6212017HBB4,sample,single,plate,TRUE,14847,14
6212017HBB5,sample,single,plate,TRUE,25807,25
6212017HBB6,sample,single,plate,TRUE,23388,50
6212017HBB7,sample,single,plate,FALSE,23719,30
6212017HBB8,sample,single,plate,FALSE,13044,20
6212017HBB9,sample,single,plate,FALSE,40154,17
6212017HBC1,sample,single,plate,FALSE,18392,17
6212017HBC10,sample,single,plate,FALSE,21626,46
6212017HBC2,sample,single,plate,FALSE,23317,13
6212017HBC3,sample,single,plate,FALSE,26943,87
6212017HBC4,sample,single,plate,FALSE,30782,38
6212017HBC5,sample,single,plate,TRUE,28556,88
6212017HBC6,sample,single,plate,TRUE,23548,72
6212017HBC7,sample,single,plate,TRUE,29629,94
6212017HBC8,sample,single,plate,TRUE,26933,28
6212017HBC9,sample,single,plate,FALSE,26331,42
6212017HBD1,sample,single,plate,FALSE,35740,62
6212017HBD10,sample,single,plate,FALSE,30477,16
6212017HBD2,sample,single,plate,FALSE,18375,16
6212017HBD3,sample,single,plate,FALSE,20788,71
6212017HBD4,sample,single,plate,FALSE,21032,26
6212017HBD5,sample,single,plate,FALSE,29356,78
6212017HBD6,sample,single,plate,FALSE,31082,20
6212017HBD7,sample,single,plate,TRUE,26452,45
6212017HBD8,sample,single,plate,TRUE,19586,53
6212017HBD9,sample,single,plate,TRUE,26583,22
6212017HBPoolA1,sample,pool,Isolate,NA,40496,36
6212017HBPoolA2,sample,pool,Isolate,NA,48265,41
6212017HBPoolA3,sample,pool,Isolate,NA,70411,43
6212017HBPoolA4,sample,pool,Isolate,NA,54914,41
6212017HBPoolB1,sample,pool,Isolate,NA,25564,47
6212017HBPoolB2,sample,pool,Isolate,NA,20337,54
6212017HBPoolB3,sample,pool,Isolate,NA,23225,56
6212017HBPoolB4,sample,pool,Isolate,NA,63401,75
6212017HBPoolC1,sample,pool,Isolate,NA,24729,153
6212017HBPoolC2,sample,pool,Isolate,NA,37724,175
6212017HBPoolC3,sample,pool,Isolate,NA,22745,153
6212017HBPoolC4,sample,pool,Isolate,NA,30693,166
6212017HBPoolD1,sample,pool,Isolate,NA,28531,82
6212017HBPoolD2,sample,pool,Isolate,NA,26893,74
6212017HBPoolD3,sample,pool,Isolate,NA,28025,25
6212017HBPoolD4,sample,pool,Isolate,NA,33800,27
72717EgnerPoolB1,sample,pool,Isolate,NA,30403,76
72717EgnerPoolB2,sample,pool,Isolate,NA,19317,83
72717EgnerPoolB3,sample,pool,Isolate,NA,23106,125
72717EgnerPoolB4,sample,pool,Isolate,NA,24765,132
72717HBPoolB1,sample,pool,Isolate,NA,27447,135
72717HBPoolB2,sample,pool,Isolate,NA,16158,106
72717HBPoolB3,sample,pool,Isolate,NA,33593,170
72717HBPoolB4,sample,pool,Isolate,NA,26764,160
72717HBPoolC1,sample,pool,Isolate,NA,24324,69
72717HBPoolC2,sample,pool,Isolate,NA,27121,81
72717HBPoolC3,sample,pool,Isolate,NA,22835,146
72717HBPoolC4,sample,pool,Isolate,NA,14356,107
7272017EGA1,sample,single,plate,FALSE,47691,79
7272017EGA2,sample,single,plate,FALSE,15154,40
7272017EGA3,sample,single,plate,FALSE,33518,42
7272017EGA4,sample,single,plate,FALSE,24265,53
7272017EGA5,sample,single,plate,FALSE,19344,68
7272017EGB1,sample,single,plate,FALSE,26731,93
7272017EGB10,sample,single,plate,TRUE,56465,60
7272017EGB2,sample,single,plate,FALSE,12072,37
7272017EGB3,sample,single,plate,TRUE,16588,80
7272017EGB4,sample,single,plate,TRUE,27050,78
7272017EGB5,sample,single,plate,TRUE,28391,87
7272017EGB6,sample,single,plate,FALSE,58363,75
7272017EGB7,sample,single,plate,FALSE,22329,129
7272017EGB8,sample,single,plate,FALSE,12111,91
7272017EGB9,sample,single,plate,TRUE,18996,34
7272017EGC1,sample,single,plate,FALSE,47580,1
7272017EGC10,sample,single,plate,TRUE,21220,25
7272017EGC2,sample,single,plate,FALSE,41927,5
7272017EGC3,sample,single,plate,FALSE,21768,75
7272017EGC4,sample,single,plate,FALSE,25384,19
7272017EGC5,sample,single,plate,FALSE,78198,50
7272017EGC6,sample,single,plate,FALSE,35771,24
7272017EGC7,sample,single,plate,FALSE,54621,50
7272017EGC8,sample,single,plate,FALSE,19134,37
7272017EGC9,sample,single,plate,FALSE,17283,47
7272017EGD1,sample,single,plate,TRUE,21921,66
7272017EGD10,sample,single,plate,FALSE,20476,38
7272017EGD2,sample,single,plate,FALSE,23951,41
7272017EGD3,sample,single,plate,FALSE,20822,34
7272017EGD4,sample,single,plate,FALSE,38527,21
7272017EGD5,sample,single,plate,FALSE,40382,77
7272017EGD6,sample,single,plate,FALSE,21057,47
7272017EGD7,sample,single,plate,FALSE,28583,38
7272017EGD8,sample,single,plate,FALSE,45446,56
7272017EGD9,sample,single,plate,FALSE,54822,78
7272017EgnerPoolC1,sample,pool,Isolate,NA,22318,105
7272017EgnerPoolC2,sample,pool,Isolate,NA,24276,30
7272017EgnerPoolC3,sample,pool,Isolate,NA,26691,34
7272017EgnerPoolC4,sample,pool,Isolate,NA,35645,37
7272017EgnerPoolD1,sample,pool,Isolate,NA,40077,32
7272017EgnerPoolD2,sample,pool,Isolate,NA,39426,39
7272017EgnerPoolD3,sample,pool,Isolate,NA,36218,37
7272017EgnerPoolD4,sample,pool,Isolate,NA,32850,39
7272017HBA1,sample,single,plate,TRUE,30977,48
7272017HBA10,sample,single,plate,FALSE,39899,5
7272017HBA2,sample,single,plate,TRUE,35236,8
7272017HBA3,sample,single,plate,TRUE,37531,75
7272017HBA4,sample,single,plate,TRUE,18133,37
7272017HBA5,sample,single,plate,FALSE,38169,64
7272017HBA6,sample,single,plate,FALSE,54594,1
7272017HBA7,sample,single,plate,FALSE,85710,19
7272017HBA8,sample,single,plate,FALSE,24370,39
7272017HBA9,sample,single,plate,FALSE,42936,57
7272017HBB1,sample,single,plate,FALSE,18684,23
7272017HBB10,sample,single,plate,FALSE,23122,38
7272017HBB2,sample,single,plate,FALSE,15197,35
7272017HBB3,sample,single,plate,TRUE,26921,62
7272017HBB4,sample,single,plate,TRUE,27482,21
7272017HBB5,sample,single,plate,TRUE,20186,57
7272017HBB6,sample,single,plate,TRUE,803,18
7272017HBB7,sample,single,plate,FALSE,19362,36
7272017HBB8,sample,single,plate,FALSE,3174,18
7272017HBB9,sample,single,plate,FALSE,19814,12
7272017HBC1,sample,single,plate,FALSE,28593,30
7272017HBC10,sample,single,plate,FALSE,14038,41
7272017HBC2,sample,single,plate,FALSE,30404,27
7272017HBC3,sample,single,plate,FALSE,9925,41
