Class,Df,Sum.Sq,Mean.Sq,F.value,Pr..F.,Factor,Metric
Groups,1,0.0817,0.0817,0.0817,1e-04,Site,Dice-Sorensen
Residuals,187,0.9434,0.9434,0.9434,NA,Site,Dice-Sorensen
Groups,2,0.1242,0.1242,0.1242,0,Month,Dice-Sorensen
Residuals,186,0.9901,0.9901,0.9901,NA,Month,Dice-Sorensen
Groups,1,0.0563,0.0563,0.0563,0.0019,Site,Bray-Curtis
Residuals,187,1.058,1.058,1.058,NA,Site,Bray-Curtis
Groups,2,0.054,0.054,0.054,0.0479,Month,Bray-Curtis
Residuals,186,1.6263,1.6263,1.6263,NA,Month,Bray-Curtis
Groups,1,0.0217,0.0217,0.0217,0.0063,Site,Unifrac Unweighted
Residuals,187,0.5317,0.5317,0.5317,NA,Site,Unifrac Unweighted
Groups,2,0.0494,0.0494,0.0494,4e-04,Month,Unifrac Unweighted
Residuals,186,0.5677,0.5677,0.5677,NA,Month,Unifrac Unweighted
Groups,1,0.0023,0.0023,0.0023,0.4617,Site,Unifrac Weighted
Residuals,187,0.8033,0.8033,0.8033,NA,Site,Unifrac Weighted
Groups,2,0.0608,0.0608,0.0608,7e-04,Month,Unifrac Weighted
Residuals,186,0.7402,0.7402,0.7402,NA,Month,Unifrac Weighted
