Pair,Names,BH-adjusted p-val,Metric
Sept-HB,June-EN,0,Observed
July-HB,June-EN,0.005,Observed
Sept-EN,June-EN,0.005,Observed
Sept-HB,July-EN,0.005,Observed
Sept-HB,June-HB,0.008,Observed
Sept-HB,Sept-EN,0.026,Observed
July-HB,July-EN,0.074,Observed
July-HB,June-HB,0.086,Observed
June-HB,June-EN,0.228,Observed
Sept-EN,July-EN,0.242,Observed
July-EN,June-EN,0.315,Observed
Sept-EN,July-HB,0.32,Observed
Sept-EN,June-HB,0.487,Observed
Sept-HB,July-HB,0.541,Observed
July-EN,June-HB,0.665,Observed
June-HB,June-EN,0.785,Shannons
July-EN,June-EN,0.785,Shannons
July-EN,June-HB,0.785,Shannons
July-HB,June-EN,0.785,Shannons
July-HB,July-EN,0.785,Shannons
Sept-EN,June-HB,0.785,Shannons
Sept-EN,July-EN,0.785,Shannons
Sept-HB,June-EN,0.785,Shannons
Sept-HB,June-HB,0.785,Shannons
Sept-HB,July-EN,0.785,Shannons
Sept-HB,July-HB,0.785,Shannons
Sept-HB,Sept-EN,0.785,Shannons
Sept-EN,June-EN,0.832,Shannons
July-HB,June-HB,0.861,Shannons
Sept-EN,July-HB,0.861,Shannons
