SampleID,Myotis lucifugus,Myotis sodalis,Nycticeius humeralis,multihit,sumBatReads
6212017EGA1,5,2223,NA,TRUE,2228
6212017EGA2,24,68,2247,TRUE,2339
6212017EGA3,NA,198,NA,FALSE,198
6212017EGA4,NA,94,NA,FALSE,94
6212017EGB1,NA,198,NA,FALSE,198
6212017EGB10,NA,629,NA,FALSE,629
6212017EGB2,NA,401,NA,FALSE,401
6212017EGB3,NA,8,NA,FALSE,8
6212017EGB4,NA,9,NA,FALSE,9
6212017EGB5,NA,25,NA,FALSE,25
6212017EGB6,NA,41,NA,FALSE,41
6212017EGB7,NA,153,NA,FALSE,153
6212017EGB8,NA,3039,NA,FALSE,3039
6212017EGB9,NA,706,NA,FALSE,706
6212017EGC1,NA,321,NA,FALSE,321
6212017EGC10,NA,228,NA,FALSE,228
6212017EGC2,NA,964,NA,FALSE,964
6212017EGC3,NA,230,NA,FALSE,230
6212017EGC4,NA,1283,NA,FALSE,1283
6212017EGC5,NA,11622,NA,FALSE,11622
6212017EGC6,NA,164,NA,FALSE,164
6212017EGC7,NA,242,NA,FALSE,242
6212017EGC8,NA,1926,NA,FALSE,1926
6212017EGC9,3,684,NA,TRUE,687
6212017EGD1,NA,334,NA,FALSE,334
6212017EGD10,70,152,NA,TRUE,222
6212017EGD2,NA,7234,NA,FALSE,7234
6212017EGD3,NA,457,NA,FALSE,457
6212017EGD4,NA,391,NA,FALSE,391
6212017EGD5,NA,5,NA,FALSE,5
6212017EGD6,NA,545,NA,FALSE,545
6212017EGD7,NA,408,NA,FALSE,408
6212017EGD8,NA,7,NA,FALSE,7
6212017EGD9,14,264,NA,TRUE,278
6212017EgnerPoolC1,NA,4710,NA,FALSE,4710
6212017EgnerPoolC2,NA,6676,NA,FALSE,6676
6212017EgnerPoolC3,NA,16070,NA,FALSE,16070
6212017EgnerPoolC4,NA,5548,NA,FALSE,5548
6212017EgnerPoolD1,NA,1378,NA,FALSE,1378
6212017EgnerPoolD2,NA,804,NA,FALSE,804
6212017EgnerPoolD3,NA,1070,NA,FALSE,1070
6212017EgnerPoolD4,NA,747,NA,FALSE,747
6212017HBA1,NA,13,NA,FALSE,13
6212017HBA10,99,NA,NA,FALSE,99
6212017HBA2,NA,344,NA,FALSE,344
6212017HBA3,4759,NA,NA,FALSE,4759
6212017HBA4,NA,198,NA,FALSE,198
6212017HBA5,NA,40,NA,FALSE,40
6212017HBA6,NA,122,NA,FALSE,122
6212017HBA7,NA,275,NA,FALSE,275
6212017HBA8,NA,382,NA,FALSE,382
6212017HBA9,NA,9,NA,FALSE,9
6212017HBB1,366,NA,NA,FALSE,366
6212017HBB10,NA,1289,NA,FALSE,1289
6212017HBB2,NA,24,NA,FALSE,24
6212017HBB4,13449,NA,NA,FALSE,13449
6212017HBB5,NA,171,NA,FALSE,171
6212017HBB6,NA,174,NA,FALSE,174
6212017HBB7,155,NA,NA,FALSE,155
6212017HBB9,NA,49,NA,FALSE,49
6212017HBC10,NA,8,NA,FALSE,8
6212017HBC3,NA,1161,NA,FALSE,1161
6212017HBC4,NA,721,NA,FALSE,721
6212017HBC5,NA,106,NA,FALSE,106
6212017HBC6,NA,6693,NA,FALSE,6693
6212017HBC7,NA,156,NA,FALSE,156
6212017HBC9,NA,17,NA,FALSE,17
6212017HBD1,NA,864,NA,FALSE,864
6212017HBD3,4,16,NA,TRUE,20
6212017HBD4,NA,189,NA,FALSE,189
6212017HBD5,NA,171,NA,FALSE,171
6212017HBD7,NA,211,NA,FALSE,211
6212017HBD8,NA,147,NA,FALSE,147
6212017HBPoolA2,NA,1097,NA,FALSE,1097
6212017HBPoolC2,NA,277,NA,FALSE,277
6212017HBPoolC3,NA,85,NA,FALSE,85
6212017HBPoolC4,NA,52,NA,FALSE,52
6212017HBPoolD1,10,57,NA,TRUE,67
6212017HBPoolD2,NA,79,NA,FALSE,79
6212017HBPoolD4,NA,69,NA,FALSE,69
72717EgnerPoolB1,NA,314,NA,FALSE,314
72717EgnerPoolB3,NA,68,NA,FALSE,68
72717EgnerPoolB4,NA,238,NA,FALSE,238
72717HBPoolB1,NA,1418,NA,FALSE,1418
72717HBPoolB2,NA,818,NA,FALSE,818
72717HBPoolB3,NA,1438,NA,FALSE,1438
72717HBPoolB4,NA,1139,NA,FALSE,1139
72717HBPoolC1,NA,196,NA,FALSE,196
72717HBPoolC3,NA,97,NA,FALSE,97
72717HBPoolC4,NA,4,NA,FALSE,4
7272017EGA1,NA,6,NA,FALSE,6
7272017EGA3,NA,25,NA,FALSE,25
7272017EGA4,6,1761,NA,TRUE,1767
7272017EGA5,64,36,NA,TRUE,100
7272017EGB1,10,55,NA,TRUE,65
7272017EGB2,NA,4492,NA,FALSE,4492
7272017EGB4,NA,16,NA,FALSE,16
7272017EGB5,NA,9,NA,FALSE,9
7272017EGB6,NA,81,NA,FALSE,81
