Class,Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr..F.,Metric
CollectionMonth,1,3.94500985760846,3.94500985760846,12.1982241032126,0.0591511949578097,0.001,Dice-Sorensen
Site,1,1.91359998483266,1.91359998483266,5.9169741778652,0.0286923809723297,0.001,Dice-Sorensen
CollectionMonth:Site,1,1.00447302522793,1.00447302522793,3.10589517127089,0.0150609965221068,0.001,Dice-Sorensen
Residuals,185,59.8305800485625,0.323408540803041,NA,0.897095427547754,NA,Dice-Sorensen
Total,188,66.6936629162316,NA,NA,1,NA,Dice-Sorensen
CollectionMonth,1,2.05944963608651,2.05944963608651,5.13393891285699,0.026061941807089,0.001,Bray-Curtis
Site,1,1.6763328783196,1.6763328783196,4.1788788830304,0.0212136724096322,0.001,Bray-Curtis
CollectionMonth:Site,1,1.07388978549911,1.07388978549911,2.67706695094044,0.0135898701315604,0.001,Bray-Curtis
Residuals,185,74.2116704431106,0.401144164557355,NA,0.939134515651719,NA,Bray-Curtis
Total,188,79.0213427430159,NA,NA,1,NA,Bray-Curtis
CollectionMonth,1,2.75685505993161,2.75685505993161,10.6942039504072,0.0527874135517923,0.001,Unifrac Unweighted
Site,1,1.12591512350816,1.12591512350816,4.36757308595789,0.0215586768099143,0.001,Unifrac Unweighted
CollectionMonth:Site,1,0.651758685594913,0.651758685594913,2.52825780052949,0.0124796750371507,0.001,Unifrac Unweighted
Residuals,185,47.6910846709568,0.257789646870037,NA,0.913174234601143,NA,Unifrac Unweighted
Total,188,52.2256135399915,NA,NA,1,NA,Unifrac Unweighted
CollectionMonth,1,2.75685505993161,2.75685505993161,10.6942039504072,0.0527874135517923,0.001,Unifrac Weighted
Site,1,1.12591512350816,1.12591512350816,4.36757308595789,0.0215586768099143,0.001,Unifrac Weighted
CollectionMonth:Site,1,0.651758685594913,0.651758685594913,2.52825780052949,0.0124796750371507,0.001,Unifrac Weighted
Residuals,185,47.6910846709568,0.257789646870037,NA,0.913174234601143,NA,Unifrac Weighted
Total,188,52.2256135399915,NA,NA,1,NA,Unifrac Weighted
