query,subject,pid,alnlen,mismatch,gapopen,qstart,qend,sstart,send,eval,bitscore,ncbiID,taxa
064f33df7dea144bc0aa46d95ad9a60f,GU723163.1,98.485,198,3,0,1,198,1,198,1.35e-92,350,27670,Nycticeius humeralis
064f33df7dea144bc0aa46d95ad9a60f,GU723164.1,97.98,198,4,0,1,198,1,198,6.27e-91,344,27670,Nycticeius humeralis
064f33df7dea144bc0aa46d95ad9a60f,GU723246.1,98.352,182,3,0,17,198,1,182,1.06e-83,320,27670,Nycticeius humeralis
064f33df7dea144bc0aa46d95ad9a60f,GU723247.1,97.802,182,4,0,17,198,1,182,4.92e-82,315,27670,Nycticeius humeralis
064f33df7dea144bc0aa46d95ad9a60f,GU723248.1,97.253,182,5,0,17,198,1,182,2.29e-80,309,27670,Nycticeius humeralis
064f33df7dea144bc0aa46d95ad9a60f,KJ642022.1,98.485,198,3,0,1,198,12,209,1.35e-92,350,27670,Nycticeius humeralis
064f33df7dea144bc0aa46d95ad9a60f,KJ642023.1,98.485,198,3,0,1,198,12,209,1.35e-92,350,27670,Nycticeius humeralis
064f33df7dea144bc0aa46d95ad9a60f,KJ642024.1,98.485,198,3,0,1,198,12,209,1.35e-92,350,27670,Nycticeius humeralis
064f33df7dea144bc0aa46d95ad9a60f,KJ642025.1,98.485,198,3,0,1,198,12,209,1.35e-92,350,27670,Nycticeius humeralis
064f33df7dea144bc0aa46d95ad9a60f,MH403778.1,86.979,192,25,0,8,199,1440,1631,1.43e-52,217,52099,Desmognathus conanti
08f89e78cf92c6f97dd6fb2cf4543a18,GU723229.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
08f89e78cf92c6f97dd6fb2cf4543a18,GU723230.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
08f89e78cf92c6f97dd6fb2cf4543a18,KM382104.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
08f89e78cf92c6f97dd6fb2cf4543a18,KM382105.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
08f89e78cf92c6f97dd6fb2cf4543a18,KM382107.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
08f89e78cf92c6f97dd6fb2cf4543a18,KM382109.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
08f89e78cf92c6f97dd6fb2cf4543a18,KM382110.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
